http://es.wikipedia.org/wiki/Geografía_de_Andorra	Geografía de Andorra	El Principado de Andorra (nombre local, Principat d'Andorra) es un estado de la Europa meridional, situado en la cordillera de los Pirineos orientales. Limita con España al sur y con Francia al norte.
http://es.wikipedia.org/wiki/Comunicaciones_de_Andorra	Comunicaciones de Andorra	Correo: Es gratuito dentro del país y está atendido por Correos de España y La Poste de Francia. Teléfonos fijos: 34.922 (2002) Teléfonos móviles: 31.325 (2002) Sistema telefónico: local: sistema moderno con conexiones de relés de radio de microondas entre centrales internacional: circuitos terrestres a Francia y España Emisoras de radio: AM: 0, FM: 15, onda corta: 0 (1998) Aparatos de radio: 16.000 (1997) Emisoras de televisión: 1 (2004) Nota: el gobierno promueve la emisión de canales tanto españoles como franceses dentro del territorio andorrano. Aparatos de televisión: 27.000 (1997) Proveedores de servicios de Internet: 1 (2005) Usuarios de Internet: 24.500 (2001) Periódicos Diari d'Andorra El Periòdic d'Andorra Código de país: AD
http://es.wikipedia.org/wiki/Artes_visuales	Artes visuales	Las artes visuales comprenden las distintas modalidades del arte cuyos productos son de naturaleza principalmente visual, tales como dibujo, pintura y grabado; y también artes más modernas como fotografía, cine, vídeo e infografía. También se incluye en este concepto las llamadas artes aplicadas como las artesanías y oficios artísticos. Aquellas que implican objetos tridimensionales, como la escultura, están incluidas dentro de las llamadas artes plásticas, pero no en las artes visuales. Muchas disciplinas consideradas artísticas como las artes escénicas poseen también dimensiones compartidas con las artes visuales, por lo que estas definiciones no son estrictas.
http://es.wikipedia.org/wiki/Andorra	Andorra	El Principado de Andorra es un pequeño principado soberano del suroeste de Europa con una extensión de 468 km, situado en los Pirineos entre España y Francia, con una altitud media de 1.996 metros sobre el nivel del mar. Es fronterizo por el sur con España, limitando con las comarcas catalanas de Cerdaña, Alto Urgel y Pallars Sobirá, y por el norte con Francia, limitando con el departamento de Ariège, en la región de Mediodía-Pirineos. Su territorio, con capital en Andorra la Vieja, está formado por siete parroquias con una población total de 76.246 habitantes en 2012. Está constituido como un Estado social y democrático de Derecho, cuyo régimen político es el Coprincipado parlamentario y tiene como jefes de Estado al obispo de Urgel, actualmente Joan Enric Vives i Sicília, y al presidente de la República Francesa, en la actualidad François Hollande. El actual jefe de Gobierno es Antoni Martí Petit y el idioma oficial es el catalán. No tiene fuerzas armadas propias y su defensa es responsabilidad de España y Francia. En caso de emergencias y/o desastres naturales, como por ejemplo las inundaciones que ocurrieron en el año 1982, se convoca al somatén, formado por los cabezas de familia con nacionalidad andorrana. Durante mucho tiempo pobre y aislado, consiguió una notable prosperidad desde la Segunda Guerra Mundial a través del turismo y, especialmente, por su condición de paraíso fiscal, condición que perdió para España desde el 10 de Febrero de 2010.
http://es.wikipedia.org/wiki/Agricultura	Agricultura	La agricultura (del latín agri «campo» y cultūra «cultivo, crianza»), es el conjunto de técnicas y conocimientos para cultivar la tierra y la parte del sector primario que se dedica a ello. En ella se engloban los diferentes trabajos de tratamiento del suelo y los cultivos de vegetales. Comprende todo un conjunto de acciones humanas que transforma el medio ambiente natural, con el fin de hacerlo más apto para el crecimiento de las siembras. Las actividades relacionadas son las que integran el llamado sector agrícola. Todas las actividades económicas que abarca dicho sector tienen su fundamento en la explotación de los recursos que la tierra origina, favorecida por la acción del hombre: alimentos vegetales como cereales, frutas, hortalizas, pastos cultivados y forrajes; fibras utilizadas por la industria textil; cultivos energéticos y tubérculos; etc. Es una actividad de gran importancia estratégica como base fundamental para el desarrollo autosuficiente y riqueza de las naciones. La ciencia que estudia la práctica de la agricultura es la agronomía.
http://es.wikipedia.org/wiki/Astronomía_galáctica	Astronomía galáctica	Se denomina astronomía galáctica a la investigación astronómica de nuestra galaxia, la Vía Láctea. La diferencia entre astronomía galáctica y astronomía extragaláctica sólo se empezó a hacer a principios del siglo pasado, cuando las observaciones de Edwin Hubble mostraron sin lugar a dudas que la nebulosa de Andrómeda era una galaxia similar a la nuestra, y a una considerable distancia de ella. Los objetos de interés en nuestra galaxia son muchos, incluyendo estrellas, nubes interestelares —-que es donde la formación estelar se realiza—-, nuestro centro galáctico —-que estamos casi seguros posee un agujero negro—-, etc.
http://es.wikipedia.org/wiki/ASCII	ASCII	ASCII (acrónimo inglés de American Standard Code for Information Interchange — Código Estándar Estadounidense para el Intercambio de Información), pronunciado generalmente [áski áski] o [ásci ásci], es un código de caracteres basado en el alfabeto latino, tal como se usa en inglés moderno y en otras lenguas occidentales. Fue creado en 1963 por el Comité Estadounidense de Estándares (ASA, conocido desde 1969 como el Instituto Estadounidense de Estándares Nacionales, o ANSI) como una refundición o evolución de los conjuntos de códigos utilizados entonces en telegrafía. Más tarde, en 1967, se incluyeron las minúsculas, y se redefinieron algunos códigos de control para formar el código conocido como US-ASCII. El código ASCII utiliza 7 bits para representar los caracteres, aunque inicialmente empleaba un bit adicional que se usaba para detectar errores en la transmisión. A menudo se llama incorrectamente ASCII a otros códigos de caracteres de 8 bits, como el estándar ISO-8859-1 que es una extensión que utiliza 8 bits para proporcionar caracteres adicionales usados en idiomas distintos al inglés, como el español. ASCII fue publicado como estándar por primera vez en 1967 y fue actualizado por última vez en 1986. En la actualidad define códigos para 32 caracteres no imprimibles, de los cuales la mayoría son caracteres de control obsoletos que tienen efecto sobre cómo se procesa el texto, más otros 95 caracteres imprimibles que les siguen en la numeración (empezando por el carácter espacio). Casi todos los sistemas informáticos actuales utilizan el código ASCII o una extensión compatible para representar textos y para el control de dispositivos que manejan texto como el teclado. No deben confundirse los códigos ALT+número de teclado con los códigos ASCII.
http://es.wikipedia.org/wiki/Arquitectura	Arquitectura	La arquitectura es el arte y técnica de proyectar y diseñar edificios, otras estructuras y espacios que forman el entorno humano. El término «arquitectura» proviene del griego αρχ (arch, cuyo significado es ‘jefe’, ‘quien tiene el mando’), y τεκτων (tekton, es decir, ‘constructor’ o ‘carpintero’). Así, para los antiguos griegos el arquitecto es el jefe o el director de la construcción y la arquitectura es la técnica o el arte de quien realiza el proyecto y dirige la construcción de los edificios y estructuras, ya que la palabra Τεχνη (techne) significa ‘saber hacer alguna cosa’. De ella proceden las palabras «técnica» y también «tectónico» (‘constructivo’).
http://es.wikipedia.org/wiki/Demografía_de_Andorra	Demografía de Andorra	Andorra cuenta con 83.137 habitantes y una densidad de población de 179 hab/km, según el censo de 2007. Debido a una política restrictiva de concesión de la nacionalidad, la población de nacionalidad andorrana sólo constituye el 36,6% de los habitantes del país; el resto de la población, aún siendo mayoritaria, no dispone de derechos políticos.
http://es.wikipedia.org/wiki/Ana_María_Matute	Ana María Matute	Ana María Matute Ausejo, novelista española, miembro de la Real Academia Española, donde ocupa el asiento K y la tercera mujer que recibe el Premio Cervantes, obtenido en 2010. Ha sido profesora invitada en las universidades de Oklahoma, Indiana y Virginia. Matute es una de las voces más personales de la literatura española del siglo XX y es considerada por muchos como una de las mejores novelistas de la posguerra española. Ana María Matute trata muchos aspectos políticos, sociales y morales de España durante el periodo de la posguerra. Su prosa es muy frecuentemente lírica y práctica. En sus novelas, Matute incorpora técnicas literarias asociadas con la novela modernista o surrealista. Con todas estas cualidades y talento literario, Matute es considerada "una escritora esencialmente realista". Muchos de sus libros tratan del periodo de la vida que abarcan desde la niñez y la adolescencia hasta la vida adulta. Matute utiliza mucho, como fuente primaria, al pesimismo, lo cual da a sus novelas una sensatez más clara que la realidad de la vida. "La enajenación, la hipocresía, la desmoralización y la malicia", son características que comúnmente son fáciles de encontrar en la ficción de sus obras. Una de sus características más comunes es el uso de la trilogía: una obra literaria que está compuesta por tres novelas o cuentos que tienen tanto características en común como diferentes. Muchos críticos consideran que su mejor obra es la trilogía Los Mercaderes, la cual está conformada por Primera memoria, Los soldados lloran de noche y La trampa. Sobre su obra se dice que "aunque los argumentos de cada una de sus novelas son independientes, las une el tema general de la Guerra Civil y el retrato de una sociedad dominada por el materialismo y el interés propio". El 12 de marzo de 2009, la escritora deposita en la la primera edición del libro Olvidado Rey Gudú.
